virus_id,virus_name,mass_fg,antibody,antigen,frequency_mhz,deposition_rate_s,temperature_c,humidity_pct,flow_rate,time_to_detection_s
65,Avian Influenza H7N9,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.27,21,22,1.66,12
66,Avian Influenza H9N2,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.37,33,31,1.50,14.5
67,Canine Influenza H3N8,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.33,26,24,1.30,15
68,Swine Influenza H1N2,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.29,27,31,1.70,15
69,Swine Influenza H3N2,0.000084,Anti‑HA,Hemagglutinin,1.697456757,0.45,23,26,1.20,16
70,Human Enterovirus C,0.00003,Anti‑VP1,VP1,1.697456757,0.41,22,22,1.60,15
71,Human Enterovirus B,0.00003,Anti‑VP1,VP1,1.697456757,0.32,31,31,1.10,14
72,Human Enterovirus A,0.00003,Anti‑VP1,VP1,1.697456757,0.45,24,24,1.40,13
73,Human Coxsackievirus A,0.00003,Anti‑VP1,VP1,1.697456757,0.25,31,31,1.25,18
74,Human Coxsackievirus B,0.00003,Anti‑VP1,VP1,1.697456757,0.35,26,26,1.43,19
75,Human Echovirus,0.00003,Anti‑VP1,VP1,1.697456757,0.27,25,25,1.33,20
76,Human Parechovirus 3,0.00003,Anti‑VP1,VP1,1.697456757,0.45,33,33,1.45,14
77,Human Orthobunyavirus,0.00009,Anti‑Gc,Gc protein,1.697456757,0.36,26,26,1.66,11
78,Human Phlebovirus,0.00010,Anti‑Gn,Gn protein,1.697456757,0.41,27,37,1.50,15
79,Human Arenavirus,0.00006,Anti‑GP1,GP1,1.697456757,0.25,23,35,1.40,16
80,Human Bornavirus,0.00009,Anti‑G,Glycoprotein G,1.697456757,0.35,22,32,1.25,16
81,Human Torovirus,0.00015,Anti‑S,Spike,1.697456757,0.27,31,38,1.43,18
82,Hepatitis A (airborne rare),0.00003,Anti‑VP1,VP1,1.697456757,0.37,24,31,1.33,14
83,Hepatitis E (airborne rare),0.00008,Anti‑ORF2,ORF2 capsid,1.697456757,0.33,31,25,1.45,13
84,Human Polyomavirus KI,0.00003,Anti‑VP1,VP1,1.697456757,0.29,26,21,1.25,18
85,Human Polyomavirus WU,0.00003,Anti‑VP1,VP1,1.697456757,0.45,31,33,1.43,19
86,Human Parvovirus B19,0.00003,Anti‑VP1,VP1,1.697456757,0.41,20,26,1.33,20
87,Torque Teno Virus,0.00002,Anti‑Capsid,Capsid,1.697456757,0.32,25,27,1.45,14
88,Human Sapovirus,0.00003,Anti‑VP1,VP1,1.697456757,0.45,21,23,1.66,11
89,Human Aichivirus,0.00003,Anti‑VP1,VP1,1.697456757,0.37,33,22,1.50,15
90,Human Cardiovirus,0.00003,Anti‑VP1,VP1,1.697456757,0.33,26,22,1.30,16
91,Human Kobuvirus,0.00003,Anti‑VP1,VP1,1.697456757,0.29,25,31,1.70,17
92,Human Salivirus,0.00003,Anti‑VP1,VP1,1.697456757,0.45,33,24,1.20,13
93,Human Cosavirus,0.00003,Anti‑VP1,VP1,1.697456757,0.41,26,31,1.60,12
94,Human Orthoreovirus 3,0.00005,Anti‑σ1,Sigma‑1,1.697456757,0.32,27,26,1.10,18
95,Human Rotavirus H,0.00010,Anti‑VP7,VP7,1.697456757,0.45,23,25,1.80,19
96,Human Astrovirus MLB,0.00003,Anti‑Capsid,Capsid,1.697456757,0.25,22,33,1.50,20
97,Human Astrovirus VA,0.00003,Anti‑Capsid,Capsid,1.697456757,0.35,31,26,1.40,14
98,Human Adenovirus 14,0.00012,Anti‑Hexon,Hexon,1.697456757,0.27,25,27,1.25,11
99,Human Adenovirus 55,0.00012,Anti‑Hexon,Hexon,1.697456757,0.45,31,35,1.43,15
100,Human Adenovirus 21,0.00006,Anti‑Fiber,Fiber,1.697456757,0.27,24,20,1.20,16
101,HHV‑6A,0.00011,Anti‑gp116,gp116,1.697456757,0.37,31,25,1.6,18
102,HHV‑6B,0.00011,Anti‑gp116,gp116,1.697456757,0.33,26,21,1.1,14
103,HHV‑7,0.00010,Anti‑gp65,gp65,1.697456757,0.29,24,33,1.8,13
104,HHV‑8 (KSHV),0.00013,Anti‑K8.1,K8.1,1.697456757,0.45,22,26,1.5,18
105,EBV Early Antigen,0.00015,Anti‑EA‑D,EA‑D,1.697456757,0.41,32,27,1.4,19
106,EBV Nuclear Antigen,0.00015,Anti‑EBNA,EBNA‑1,1.697456757,0.32,25,23,1.25,20
107,CMV pp65,0.00011,Anti‑pp65,pp65,1.697456757,0.45,25,22,1.43,14
108,VZV gB,0.00009,Anti‑gB,gB,1.697456757,0.25,31,31,1.33,11
109,HSV‑1 gG,0.00009,Anti‑gG,gG,1.697456757,0.35,20,24,1.45,15
110,HSV‑2 gG2,0.00009,Anti‑gG2,gG2,1.697456757,0.27,25,31,1.66,16
111,Hepatitis A Virus,0.00003,Anti‑HAV IgM,VP1,1.697456757,0.45,21,26,1.2,17
112,Hepatitis E Virus,0.00008,Anti‑HEV IgM,ORF2 capsid,1.697456757,0.35,33,25,1.5,13
113,Hepatitis B Virus (HBeAg),0.00020,Anti‑HBe,HBeAg,1.697456757,0.43,26,33,1.4,12
114,Hepatitis B Virus (HBcAg),0.00020,Anti‑HBc,HBcAg,1.697456757,0.45,27,26,1.25,18
115,Hepatitis C Virus NS3,0.00010,Anti‑NS3,NS3,1.697456757,0.30,23,37,1.43,17
116,Hepatitis C Virus NS5A,0.00010,Anti‑NS5A,NS5A,1.697456757,0.30,22,35,1.33,18
117,Hepatitis D Virus,0.00006,Anti‑HDV,Delta antigen,1.697456757,0.35,31,32,1.45,12
118,Hepatitis C Virus E2,0.00010,Anti‑E2,E2 glycoprotein,1.697456757,0.37,24,38,1.66,14.5
119,Hepatitis B Virus Pre‑S1,0.00020,Anti‑Pre‑S1,Pre‑S1,1.697456757,0.36,31,31,1.5,16.6
120,Hepatitis B Virus Pre‑S2,0.00020,Anti‑Pre‑S2,Pre‑S2,1.697456757,0.32,26,36,1.3,14.31
121,JC Virus,0.00003,Anti‑VP1,VP1,1.697456757,-0.41,31,39,1.7,16
122,BK Virus,0.00003,Anti‑VP1,VP1,1.697456757,0.27,20,32,1.2,14.51
123,Merkel Cell Polyomavirus,0.00003,Anti‑VP1,VP1,1.697456757,0.42,25,35,1.6,14
124,HPV‑16,0.00002,Anti‑L1,L1,1.697456757,0.36,21,30,1.1,17
125,HPV‑18,0.00002,Anti‑L1,L1,1.697456757,0.42,33,27,1.4,19
126,HPV‑6,0.00002,Anti‑L1,L1,1.697456757,0.36,26,29,1.25,18
127,HPV‑11,0.00002,Anti‑L1,L1,1.697456757,0.41,23,26,1.43,19
128,HPV‑31,0.00002,Anti‑L1,L1,1.697456757,0.41,24,24,1.33,20
129,HPV‑45,0.00002,Anti‑L1,L1,1.697456757,0.32,27,37,1.45,14
130,Prion (vCJD),0.00001,Anti‑PrP,PrP^Sc,1.697456757,0.45,29,40,1.5,11
131,Human Pegivirus,0.00005,Anti‑E2,E2,1.697456757,0.25,31,35,1.3,15
132,Human Pegivirus‑2,0.00005,Anti‑NS3,NS3,1.697456757,0.35,20,40,1.7,16
133,Human Saffold Virus,0.00003,Anti‑VP1,VP1,1.697456757,0.27,25,31,1.2,16
134,Human GB Virus C,0.00005,Anti‑E2,E2,1.697456757,0.45,21,24,1.6,18
135,Human Hepacivirus,0.00005,Anti‑NS3,NS3,1.697456757,0.36,33,31,1.1,14
136,Human Mamastrovirus,0.00003,Anti‑Capsid,Capsid,1.697456757,0.41,26,26,1.8,13
137,Human Bufavirus,0.00003,Anti‑VP2,VP2,1.697456757,0.25,27,22,1.5,18
138,Human Picobirnavirus,0.00002,Anti‑Capsid,Capsid,1.697456757,0.35,23,31,1.4,19
139,Human Hepevirus (variant),0.00008,Anti‑ORF3,ORF3,1.697456757,0.27,22,24,1.25,20
140,Human Circovirus,0.00002,Anti‑Capsid,Capsid,1.697456757,0.37,31,31,1.43,14
141,Ebola Virus,0.00010,Anti‑GP,GP,1.697456757,0.33,26,26,1.33,11
142,Marburg Virus,0.00010,Anti‑GP,GP,1.697456757,0.29,31,25,1.45,15
143,Rabies Virus,0.00009,Anti‑G,G protein,1.697456757,0.45,20,33,1.66,16
144,Bornavirus,0.00009,Anti‑G,G protein,1.697456757,0.41,25,26,1.5,17
145,Rift Valley Fever Virus,0.00010,Anti‑Gn,Gn,1.697456757,0.32,21,37,1.3,13
146,Hantavirus Seoul,0.00010,Anti‑Gn,Gn,1.697456757,0.45,33,35,1.7,12
147,Hantavirus Andes,0.00010,Anti‑Gn,Gn,1.697456757,0.37,26,32,1.2,18
148,Lassa Virus Josiah,0.00006,Anti‑GP1,GP1,1.697456757,0.33,25,38,1.6,11
149,Lassa Virus Macenta,0.00006,Anti‑GP1,GP1,1.697456757,0.29,33,31,1.1,15
150,Nipah Virus Malaysia,0.00009,Anti‑G,G protein,1.697456757,0.27,26,25,1.3,16
151,Nipah Virus Bangladesh,0.00009,Anti‑G,G protein,1.697456757,0.42,27,21,1.7,17
152,Hendra Virus,0.00009,Anti‑G,G protein,1.697456757,0.36,23,33,1.6,13
153,SARS‑CoV‑2 BA.2,0.00018,Anti‑Spike,Spike,1.697456757,0.41,22,26,1.1,12
154,SARS‑CoV‑2 BA.5,0.00018,Anti‑Spike,Spike,1.697456757,0.25,31,27,1.8,18
155,SARS‑CoV‑2 XBB,0.00018,Anti‑Spike,Spike,1.697456757,0.35,24,23,1.5,17
156,SARS‑CoV‑2 EG.5,0.00018,Anti‑Spike,Spike,1.697456757,0.27,31,22,1.4,18
157,SARS‑CoV‑2 FL.1.5.1,0.00018,Anti‑Spike,Spike,1.697456757,0.45,24,27,1.25,12
158,SARS‑CoV‑2 JN.1,0.00018,Anti‑Spike,Spike,1.697456757,0.35,31,35,1.43,14.5
159,Human Coronavirus HKU24,0.00015,Anti‑S,Spike,1.697456757,0.43,26,20,1.2,15
160,Human Coronavirus OC48,0.00015,Anti‑S,Spike,1.697456757,0.45,31,25,1.6,15
161,Human Coronavirus 4408,0.00015,Anti‑S,Spike,1.697456757,0.30,20,21,1.1,16
162,Human Astrovirus 8,0.00003,Anti‑Capsid,Capsid,1.697456757,0.30,25,33,1.8,18
163,Human Astrovirus 9,0.00003,Anti‑Capsid,Capsid,1.697456757,0.35,21,26,1.5,14
164,Human Astrovirus 10,0.00003,Anti‑Capsid,Capsid,1.697456757,0.37,33,27,1.4,13
165,Human Rotavirus J,0.00010,Anti‑VP7,VP7,1.697456757,0.36,26,23,1.25,18
166,Human Rotavirus K,0.00010,Anti‑VP7,VP7,1.697456757,0.32,27,22,1.43,19
167,Human Rotavirus L,0.00010,Anti‑VP7,VP7,1.697456757,0.41,23,31,1.33,20
168,Human Enterovirus 104,0.00003,Anti‑VP1,VP1,1.697456757,0.27,22,24,1.45,14
169,Human Enterovirus 105,0.00003,Anti‑VP1,VP1,1.697456757,0.42,31,31,1.66,11
170,Human Enterovirus 106,0.00003,Anti‑VP1,VP1,1.697456757,0.36,24,26,1.2,13
171,Human Coxsackievirus C,0.00003,Anti‑VP1,VP1,1.697456757,0.41,31,25,1.5,12
172,Human Coxsackievirus D,0.00003,Anti‑VP1,VP1,1.697456757,0.25,26,33,1.4,18
173,Human Echovirus 30,0.00003,Anti‑VP1,VP1,1.697456757,0.45,31,26,1.25,17
174,Human Echovirus 33,0.00003,Anti‑VP1,VP1,1.697456757,0.41,20,37,1.43,18
175,Human Echovirus 37,0.00003,Anti‑VP1,VP1,1.697456757,0.32,25,35,1.33,12
