virus,device_id,deposition_rate,temperature,humidity,flow_rate,time_to_detection,mass_of_virus
Rotavirus A,Device‑2,0.35,21,32,1.45,14,0.0001
Rotavirus B,Device‑3,0.37,33,35,1.66,11,0.00009
Rotavirus C,Device-4,0.36,26,30,1.2,15,0.00008
Human Reovirus,Device-5,0.32,27,27,1.40,16,0.00005
Human Orthopneumovirus,Device‑1,0.41,23,29,1.45,15,0.00007
Human Respirovirus,Device‑2,0.27,22,26,1.66,15,0.000075
Human Rubulavirus,Device‑3,0.42,31,20,1.2,16,0.000075
Human Morbillivirus,Device-4,0.36,24,25,1.5,17,0.00008
Human Alphavirus,Device-5,0.42,31,21,1.4,13,0.00005
Human Betacoronavirus,Device‑1,0.36,26,33,1.25,12,0.00015
Human Gammacoronavirus,Device‑2,0.41,31,26,1.43,18,0.00015
Human Deltacoronavirus,Device‑3,0.25,20,27,1.33,17,0.00015
Avian Influenza H5N1,Device-4,0.35,25,23,1.45,18,0.000084
Avian Influenza H7N9,Device-5,0.27,21,22,1.66,12,0.000084
Avian Influenza H9N2,Device‑1,0.37,33,31,1.5,14.5,0.000084
Canine Influenza H3N8,Device‑2,0.33,26,24,1.3,15,0.000084
Swine Influenza H1N2,Device‑3,0.29,27,31,1.7,15,0.000084
Swine Influenza H3N2,Device-4,0.45,23,26,1.2,16,0.000084
Human Enterovirus C,Device-5,0.41,22,22,1.6,15,0.00003
Human Enterovirus B,Device‑1,0.32,31,31,1.1,14,0.00003
Human Enterovirus A,Device‑2,0.45,24,24,1.4,13,0.00003
Human Coxsackievirus A,Device‑3,0.25,31,31,1.25,18,0.00003
Human Coxsackievirus B,Device-4,0.35,26,26,1.43,19,0.00003
Human Echovirus,Device-5,0.27,25,25,1.33,20,0.00003
Human Parechovirus 3,Device‑1,0.45,33,33,1.45,14,0.00003
Human Orthobunyavirus,Device‑2,0.36,26,26,1.66,11,0.00009
Human Phlebovirus,Device‑3,0.41,27,37,1.5,15,0.0001
Human Arenavirus,Device-4,0.25,23,35,1.4,16,0.00006
Human Bornavirus,Device-5,0.35,22,32,1.25,16,0.00009
Human Torovirus,Device‑1,0.27,31,38,1.43,18,0.00015
Human Hepatitis A (airborne rare),Device‑2,0.37,24,31,1.33,14,0.00003
Human Hepatitis E (airborne rare),Device‑3,0.33,31,25,1.45,13,0.00008
Human Polyomavirus KI,Device-4,0.29,26,21,1.25,18,0.00003
Human Polyomavirus WU,Device-5,0.45,31,33,1.43,19,0.00003
Human Parvovirus B19,Device‑1,0.41,20,26,1.33,20,0.00003
Human Torque Teno Virus,Device‑2,0.32,25,27,1.45,14,0.00002
Human Sapovirus,Device‑3,0.45,21,23,1.66,11,0.00003
Human Aichivirus,Device-4,0.37,33,22,1.5,15,0.00003
Human Cardiovirus,Device-5,0.33,26,22,1.3,16,0.00003
Human Kobuvirus,Device‑1,0.29,25,31,1.7,17,0.00003
Human Salivirus,Device‑2,0.45,33,24,1.2,13,0.00003
Human Cosavirus,Device‑3,0.41,26,31,1.6,12,0.00003
Human Orthoreovirus 3,Device-4,0.32,27,26,1.1,18,0.00005
Human Rotavirus H,Device-5,0.45,23,25,1.8,19,0.0001
Human Astrovirus MLB,Device‑1,0.25,22,33,1.5,20,0.00003
Human Astrovirus VA,Device‑2,0.35,31,26,1.4,14,0.00003
Human Adenovirus 14,Device‑3,0.27,24,37,1.25,11,0.00012
Human Adenovirus 55,Device-4,0.45,31,35,1.43,15,0.00012
