Virus ID,Virus,Antibody,Antigen,mass_fg,device_id,device_sensitivity_fg,virus_count_original,virus_count_computed
60,Human Alphavirus,Anti‑E2,E2 glycoprotein,0.00005,5,500,10000000,10000000
61,Human Betacoronavirus,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
62,Human Gammacoronavirus,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
63,Human Deltacoronavirus,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
64,Avian Influenza H5N1,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
65,Avian Influenza H7N9,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
66,Avian Influenza H9N2,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
67,Canine Influenza H3N8,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
68,Swine Influenza H1N2,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
69,Swine Influenza H3N2,Anti‑HA,Hemagglutinin,0.000084,5,500,5952380.952,5952380.952
70,Human Enterovirus C,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
71,Human Enterovirus B,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
72,Human Enterovirus A,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
73,Human Coxsackievirus A,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
74,Human Coxsackievirus B,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
75,Human Echovirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
76,Human Parechovirus 3,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
77,Human Orthobunyavirus,Anti‑Gc,Gc protein,0.00009,5,500,5555555.556,5555555.556
78,Human Phlebovirus,Anti‑Gn,Gn protein,0.0001,5,500,5000000,5000000
79,Human Arenavirus,Anti‑GP1,GP1,0.00006,5,500,8333333.333,8333333.333
80,Human Bornavirus,Anti‑G,Glycoprotein G,0.00009,5,500,5555555.556,5555555.556
81,Human Torovirus,Anti‑S,Spike,0.00015,5,500,3333333.333,3333333.333
82,Human Hepatitis A (airborne rare),Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
83,Human Hepatitis E (airborne rare),Anti‑ORF2,ORF2 capsid,0.00008,5,500,6250000,6250000
84,Human Polyomavirus KI,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
85,Human Polyomavirus WU,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
86,Human Parvovirus B19,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
87,Human Torque Teno Virus,Anti‑Capsid,Capsid,0.00002,5,500,25000000,25000000
88,Human Sapovirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
89,Human Aichivirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
90,Human Cardiovirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
91,Human Kobuvirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
92,Human Salivirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
93,Human Cosavirus,Anti‑VP1,VP1,0.00003,5,500,16666666.67,16666666.67
94,Human Orthoreovirus 3,Anti‑σ1,Sigma‑1,0.00005,5,500,10000000,10000000
95,Human Rotavirus H,Anti‑VP7,VP7,0.0001,5,500,5000000,5000000
96,Human Astrovirus MLB,Anti‑Capsid,Capsid,0.00003,5,500,16666666.67,16666666.67
97,Human Astrovirus VA,Anti‑Capsid,Capsid,0.00003,5,500,16666666.67,16666666.67
98,Human Adenovirus 14,Anti‑Hexon,Hexon,0.00012,5,500,4166666.667,4166666.667
99,Human Adenovirus 55,Anti‑Hexon,Hexon,0.00012,5,500,4166666.667,4166666.667
100,Human Adenovirus 21,Anti‑Fiber,Fiber,0.00006,5,500,8333333.333,8333333.333
