Virus ID,Virus,Antibody,Antigen,mass_fg,device_id,device_sensitivity_fg,virus_count_original,virus_count_computed
89,Human Aichivirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
90,Human Cardiovirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
91,Human Kobuvirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
92,Human Salivirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
93,Human Cosavirus,Anti‑VP1,VP1,0.00003,4,700,23333333.33,23333333.33
94,Human Orthoreovirus 3,Anti‑σ1,Sigma‑1,0.00005,4,700,14000000,14000000
95,Human Rotavirus H,Anti‑VP7,VP7,0.0001,4,700,7000000,7000000
96,Human Astrovirus MLB,Anti‑Capsid,Capsid,0.00003,4,700,23333333.33,23333333.33
97,Human Astrovirus VA,Anti‑Capsid,Capsid,0.00003,4,700,23333333.33,23333333.33
98,Human Adenovirus 14,Anti‑Hexon,Hexon,0.00012,4,700,5833333.333,5833333.333
99,Human Adenovirus 55,Anti‑Hexon,Hexon,0.00012,4,700,5833333.333,5833333.333
100,Human Adenovirus 21,Anti‑Fiber,Fiber,0.00006,4,700,11666666.67,11666666.67
